period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
1/1/2012,1/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,190000,-0.025641026,0.043956044,214900,0.069154229,-0.023181818,190.3114187,-0.010380623,0.080738178,200,0.04,-0.055370247,457,-0.226734349,-0.127862595,852,0.203389831,0.059701493,801,0.491620112,-0.175925926,2210,-0.039965248,-0.346347235,4.8,0.9,-1.7,82,12,15,0.975037929,0.005683316,0.004288633,0.227571116,0.024525431,-0.039604457,0.271945701,0.056046483,-0.02352901,0.170187793,0.031769714,0.038346997,"San Diego, CA",41740,10/16/2024 14:24
1/1/2012,1/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Townhouse,13,249900,0.024180328,-0.008333333,269000,0.169565217,0.007490637,201.3498313,0.097640373,0.067154106,196.875,0.130227569,-0.027579494,161,-0.334710744,0.038709677,247,0.083333333,0.102678571,215,0.514084507,-0.209558824,498,-0.033009709,-0.338645418,3.1,1,-1.8,59,5,4,0.972264663,-0.004879075,-0.006922488,0.223602484,-0.007802474,-0.047365257,0.415662651,0.058381097,-0.05312885,0.16194332,0.039136302,0.00569332,"San Diego, CA",41740,10/16/2024 14:24
1/1/2012,1/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,268000,-0.007407407,0.032755299,329888,0.235535581,0.01504,174.5098039,0.015887821,0.101593137,177.6900296,-0.048063015,-0.08091364,108,-0.169230769,-0.076923077,122,-0.181208054,-0.2375,175,0.767676768,-0.097938144,422,0.05764411,-0.326953748,3.9,0.8,-1.5,47,-26,-40,0.96129467,0.005810577,-0.017878247,0.259259259,0.105413105,-0.005698006,0.163507109,-0.006918956,-0.053398792,0.172131148,0.017768731,0.059631148,"San Diego, CA",41740,10/16/2024 14:24
1/1/2012,1/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,340000,-0.021582734,-0.042253521,365000,0.042857143,-0.075949367,193.5797082,-0.001489123,-0.028581828,204.3561819,0.02572601,-0.033952594,1448,-0.276723277,0.128604832,2282,0.04775023,0.220973783,2394,0.635245902,-0.0488677,6251,-0.016055407,-0.230551452,4.3,1.1,-2,62,0,-3,0.968154583,-2.54E-05,-0.002770416,0.212016575,-0.013258151,-0.019472124,0.289553671,0.045574449,-0.019161247,0.185363716,0.064151595,0.068188756,"San Diego, CA",41740,10/16/2024 14:24
1/1/2012,1/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,300000,-0.019607843,0.01010101,329900,0.074767878,-0.029705882,192.6470588,0.001076681,0.005573064,202.1181363,0.024859384,-0.039955157,2174,-0.266779089,0.045695046,3503,0.073551946,0.145894668,3585,0.599018733,-0.093552465,9381,-0.019646776,-0.271944121,4.3,1.1,-1.9,64,1,-2,0.969565785,0.000976529,-0.002391612,0.21849126,0.000278781,-0.026818985,0.285577231,0.046367282,-0.02361951,0.179560377,0.052989736,0.055909739,"San Diego, CA",41740,10/16/2024 14:24
2/1/2012,2/29/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,235250,-0.122201493,-0.215833333,339900,0.030349694,0.135080982,160,-0.083146067,-0.080369342,199.8363481,0.124634559,0.11426005,96,-0.111111111,-0.111111111,132,0.081967213,0,162,-0.074285714,0.0125,424,0.004739336,-0.313915858,4.4,0.5,-1.3,58,11,-17,0.943810046,-0.017484624,-0.011480453,0.239583333,-0.019675926,0.02662037,0.143867925,-0.019639184,-0.055161202,0.204545455,0.032414307,0.083333333,"San Diego, CA",41740,10/16/2024 14:24
2/1/2012,2/29/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,350000,0.029411765,-0.005681818,385000,0.054794521,-0.012567325,194.2439945,0.003431591,-0.035441381,209.5161452,0.025249852,-0.014542882,1634,0.128453039,0.186637618,2383,0.044259422,0.163574219,2343,-0.021303258,-0.011392405,6050,-0.032154855,-0.258850913,3.7,-0.6,-2.2,64,2,-8,0.971446593,0.00329201,0.000436836,0.227050184,0.015033609,-0.013327449,0.268264463,-0.021289209,-0.009452063,0.208980277,0.023616561,0.054683402,"San Diego, CA",41740,10/16/2024 14:24
2/1/2012,2/29/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,300000,0,-0.016393443,345000,0.045771446,0.014705882,190.6330194,-0.010454556,-0.037485527,209.3023256,0.035544506,-0.001199465,2495,0.147654094,0.157772622,3696,0.055095632,0.134786613,3500,-0.023709902,-0.034482759,9008,-0.039761219,-0.300295169,3.6,-0.7,-2.4,66,2,-7,0.971102479,0.001536694,-0.000155434,0.223246493,0.004755233,-0.014804551,0.260546181,-0.025031049,-0.009455372,0.211580087,0.03201971,0.059599737,"San Diego, CA",41740,10/16/2024 14:24
2/1/2012,2/29/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,185000,-0.026315789,-0.015957447,229900,0.069799907,0.074299065,180.4436548,-0.051850614,-0.033753333,208.2931533,0.041465767,0.021857751,562,0.2297593,0.07456979,900,0.056338028,0.06257379,777,-0.029962547,-0.078291815,2089,-0.054751131,-0.372107003,3.7,-1.1,-2.7,72,-10,-14,0.973449892,-0.001588037,0.000173407,0.211743772,-0.015827344,-0.008141505,0.239348971,-0.032596731,-0.004113608,0.2,0.029812207,0.050059032,"San Diego, CA",41740,10/16/2024 14:24
2/1/2012,2/29/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Townhouse,13,230000,-0.079631853,-0.025423729,278000,0.033457249,0.079821325,176.9784173,-0.121040151,0.005428738,216.7092312,0.100745301,0.075823601,203,0.260869565,0.380952381,281,0.137651822,0.22173913,218,0.013953488,-0.134920635,445,-0.106425703,-0.419060052,2.2,-0.9,-3,61,2,-2,0.97477027,0.002505607,-0.003373705,0.216748768,-0.006853716,-0.082570959,0.395505618,-0.020157033,0.01691554,0.274021352,0.112078032,0.117499613,"San Diego, CA",41740,10/16/2024 14:24
3/1/2012,3/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,356500,0.018571429,-0.049333333,399000,0.036363636,0.010126582,199.0074643,0.024523125,-0.034415783,214.2303362,0.022500371,0.013647373,2024,0.238678091,0.089929995,2785,0.168694922,0.077369439,2614,0.115663679,-0.094248094,5724,-0.053884298,-0.304580245,2.8,-0.9,-1.6,54,-10,-14,0.972975317,0.001528725,0.001798201,0.220355731,-0.006694452,0.00010802,0.269042628,0.000778165,-0.051696043,0.221184919,0.012204642,0.065285499,"San Diego, CA",41740,10/16/2024 14:24
3/1/2012,3/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,320000,0.066666667,-0.00621118,350000,0.014492754,0.032448378,197.5324574,0.036192251,-0.020521282,212.4137931,0.0148659,0.019944082,2997,0.201202405,0.043523677,4198,0.135822511,0.029931305,3812,0.089142857,-0.117183881,8502,-0.056172291,-0.336817473,2.8,-0.8,-1.7,54,-12,-15,0.974437595,0.003335116,0.003373871,0.234567901,0.011321408,0.00894116,0.260526935,-1.92E-05,-0.057881802,0.224154359,0.012574273,0.067137676,"San Diego, CA",41740,10/16/2024 14:24
3/1/2012,3/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Townhouse,13,250000,0.086956522,0.094091904,249900,-0.101079137,-0.038842457,196.5460526,0.110565094,0.072737334,206.8312928,-0.04558153,0.068145602,227,0.118226601,0.129353234,285,0.014234875,-0.109375,194,-0.110091743,-0.262357414,391,-0.121348315,-0.458448753,1.7,-0.5,-1.9,43,-18,-18,0.980011036,0.005240766,0.008219265,0.303964758,0.087215989,0.104959783,0.386189258,-0.00931636,-0.105500492,0.245614035,-0.028407317,0.061239035,"San Diego, CA",41740,10/16/2024 14:24
3/1/2012,3/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,290000,0.232731137,-0.031719533,342500,0.007649309,0.223214286,176.975945,0.106099656,0.13115348,201.1834876,0.006741213,0.077462934,124,0.291666667,-0.015873016,163,0.234848485,-0.079096045,143,-0.117283951,-0.274111675,372,-0.122641509,-0.400966184,3,-1.4,-1.9,54,-4,-10,0.966976392,0.023166347,0.017750957,0.217741935,-0.021841398,0.019329237,0.126344086,-0.017523839,-0.128084255,0.159509202,-0.045036252,0.057814287,"San Diego, CA",41740,10/16/2024 14:24
3/1/2012,3/31/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,209200,0.130810811,0.046,235000,0.022183558,0.080708209,194.1391024,0.075898749,-0.00157033,207.2580645,-0.004969385,0.032467104,622,0.106761566,-0.09724238,965,0.072222222,-0.030150754,861,0.108108108,-0.114197531,2015,-0.035423648,-0.379235983,3.2,-0.5,-1.5,58,-14,-18,0.978636741,0.005186849,0.004091102,0.258842444,0.047098671,0.006302531,0.241687345,0.002338374,-0.05005634,0.237305699,0.037305699,0.076501679,"San Diego, CA",41740,10/16/2024 14:24
4/1/2012,4/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Single Family Residential,6,360000,0.009817672,-0.008264463,400000,0.002506266,0.000250063,201.5274016,0.012662526,-0.014886643,216.3965306,0.01011152,-0.002539286,2150,0.062252964,0.115723923,2733,-0.018671454,0.100684656,2392,-0.084927314,-0.108792846,5429,-0.051537386,-0.352765856,2.5,-0.3,-1.9,48,-6,-9,0.975466769,0.002491452,0.004153566,0.232093023,0.011737292,0.011542945,0.249401363,-0.019641264,-0.054365924,0.222832053,0.001647133,0.068180422,"San Diego, CA",41740,10/16/2024 14:24
4/1/2012,4/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,All Residential,-1,325000,0.015625,0.027667984,350000,0,0,199.4924434,0.009922349,-0.007789906,216.5861414,0.019642549,-0.001665292,3176,0.059726393,0.059372915,4104,-0.022391615,0.052037939,3602,-0.055089192,-0.084857724,8045,-0.053752058,-0.373247117,2.5,-0.3,-1.8,47,-7,-13,0.975536659,0.001099064,0.003139262,0.228904282,-0.005663619,0.002753515,0.240646364,-0.019880571,-0.059213405,0.239522417,0.015368058,0.088791835,"San Diego, CA",41740,10/16/2024 14:24
4/1/2012,4/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Condo/Co-op,3,195000,-0.067877629,-0.025,248500,0.057446809,0.104444444,192.4528302,-0.008685897,-0.013865731,219.5461201,0.059288673,0.01191215,651,0.046623794,-0.063309353,1005,0.041450777,0.057894737,924,0.073170732,0.110576923,1919,-0.04764268,-0.38846399,2.9,-0.3,-1.6,49,-9,-22,0.977474467,-0.001162275,0.005677696,0.23655914,-0.022283304,0.023609499,0.205836373,-0.035850972,-0.070772932,0.292537313,0.055231614,0.160958366,"San Diego, CA",41740,10/16/2024 14:24
4/1/2012,4/30/2012,30,metro,-2,41740,f,"San Diego, CA metro area",,,CA,Multi-Family (2-4 Unit),4,317000,0.093103448,0.270543628,336950,-0.01620438,0.036769231,181.526521,0.025712963,0.042498886,200.1385042,-0.005194181,-0.024569631,140,0.129032258,0,137,-0.159509202,-0.282722513,122,-0.146853147,-0.322222222,330,-0.112903226,-0.4599018,2.4,-0.6,-2,39,-15,-29,0.957548357,-0.009428036,-0.017804714,0.178571429,-0.039170507,-0.121428571,0.157575758,0.031231672,-0.081376779,0.160583942,0.001074739,0.013987083,"San Diego, CA",41740,10/16/2024 14:24
