name,price,rent
Alpine,952268.2276326809,2281.7232645575605
Bonita,1091441.769690647,4000.0
Carlsbad,1495225.0123257448,3611.859697479224
Chula Vista,834391.6694338104,2992.396609095998
Coronado,2455103.3861493967,4327.79395601571
Del Mar,3557546.139898846,5831.209469038911
El Cajon,797367.6586230745,2411.6600838018444
Encinitas,1842145.5986644009,4171.097325661087
Escondido,832490.0365173988,2678.8646843793704
Fallbrook,854175.6932264942,3161.863551007072
Imperial Beach,858853.5120018317,2763.018566893123
La Mesa,878091.5227123937,2580.230510553925
Lakeside,788037.9455326219,2451.9297687768826
Lemon Grove,727004.4975375958,2605.951618469761
National City,658325.2131076436,2453.0188956444385
Oceanside,845990.0760271926,2867.98849755101
Poway,1189801.7375187902,3253.8209475348976
Ramona,788225.3939728676,2274.1067009139956
Rancho Santa Fe,4144994.006835228,10374.166666666666
San Diego,986238.2077692774,3008.0783587449628
San Marcos,949915.3503502243,3311.552205891443
Santee,784132.6176817148,2750.5360873546547
Solana Beach,2052720.6237474221,5371.344410133986
Spring Valley,743058.0794118629,2597.81213602855
Vista,852924.339750932,2710.190034228185
