name,lat,long
Alpine,32.835,-116.7664
Bonita,32.6601,-117.0313
Carlsbad,33.1581,-117.3506
Chula Vista,32.6401,-117.0842
Coronado,32.6859,-117.1831
Del Mar,32.9595,-117.2653
El Cajon,32.7948,-116.9625
Encinitas,33.0369,-117.2919
Escondido,33.1192,-117.0864
Fallbrook,33.3764,-117.2511
Imperial Beach,32.5839,-117.1131
La Mesa,32.7678,-117.0231
Lakeside,32.8573,-116.9222
Lemon Grove,32.7426,-117.0313
National City,32.6781,-117.0992
Oceanside,33.1959,-117.3795
Poway,32.9628,-117.0359
Ramona,33.0417,-116.8689
Rancho Santa Fe,33.0203,-117.2028
San Diego,32.7157,-117.1611
San Marcos,33.1434,-117.1661
Santee,32.8384,-116.9739
Solana Beach,32.9912,-117.2711
Spring Valley,32.7448,-116.9989
Vista,33.2,-117.2425
